entity,times,length,source
空中客车中国公司总裁预计公司,2,14,空中客车中国公司总裁预计公司在中国面临前所未有的增长机会
来宝集团重申反对博地能源公司,1,14,来宝集团重申反对博地能源公司收购Macarthur
Alberto-Culver,1,14,联合利华就收购Alberto-Culver进行深入谈判－消息人士
摩根大通投资者检视董事与公司,1,14,摩根大通投资者检视董事与公司利益关系
摩根大通银行（中国）有限公司,1,14,摩根大通向摩根大通银行（中国）有限公司增资人民币25亿元
中国诚信国际信用评级有限公司,1,14,穆迪将收购中国诚信国际信用评级有限公司49%的股权
尼日利亚NNPC与壳牌子公司,1,14,尼日利亚NNPC与壳牌子公司签署31亿美元的石油融资协议
Semiconductor,4,13,ActionsSemiconductor将美国存托股票价格定为每份8美元
Biotechnology,1,13,Adaltis同意收购ShanghaiHuaTaiBiotechnology>ADS.T
Macroeconomic,2,13,ADP/MacroeconomicAdvisers预计10月非农就业人数增12.8万人
Amgen-Abgenix,1,13,"Amgen-Abgenix并购交易设有7,500万美元终止费>AMGNABGX"
美国国际集团亚洲保险子公司,1,13,AnilAmbaniGroup寻求收购美国国际集团亚洲保险子公司－报导
International,24,13,BonsoElectronicsInternational第二财季财务报表>BNSO
Opportunities,1,13,ChinaRealEstateOpportunities出售睿富105万基金单位
CitiFinancial,1,13,"CitiFinancial关闭印度的汽车贷款业务，裁员1,000人－报导"
Computershare,3,13,Computershare计划斥资5.5亿美元收购纽约银行投资者服务业务
Constellation,21,13,ConstellationBrands与AVL的合并谈判无果而终
中国石油天然气勘探开发公司,1,13,Daewoo与中国石油天然气勘探开发公司将联合开发海外油气田
Dewey-LeBoeuf,1,13,Dewey-LeBoeuf合并交易凸显美国律所全球化发展之势
Entertainment,6,13,DICEntertainment：麦当劳达成特许交易
Technologies-,2,13,EBay欲出价50亿美元收购瑞典SkypeTechnologies-《纽约邮报》
Metallurgical,1,13,EmergentResources与ChinaMetallurgicalInvest合建企业
EuroSibEnergo,1,13,EuroSibEnergo计划秋季在香港进行IPO－《Vedomosti》
HarperCollins,1,13,HarperCollinsPublishers关注中国市场
MicroEmissive,1,13,MicroEmissiveDisplays与环隆电气签署谅解备忘协议
Kryvorizhstal,1,13,MittalSteel将收购Kryvorizhstal93.02%的股权
DisplaySearch,1,13,NPDDisplaySearch预计低成本智能手机市场具成长性
Petropavlovsk,2,13,Petropavlovsk计划将铁矿石业务在香港上市－《金融时报》
Priceline.com,4,13,Priceline.com：买家已购入其超额配售的全部债券>PCLN
PrimePartners,1,13,PrimePartners考虑推出基于其中国指数的上市交易基金
SABMiller合资公司,1,13,SABMiller合资公司将斥资3.2亿美元收购蓝剑集团
Hanarotelecom,1,13,SK电讯：已就收购Hanarotelecom控股权事宜达成协议
Environnement,1,13,SuezEnvironnement有望与中国常熟达成10亿欧元水务合同
Suez工作委员会支持公司,3,13,Suez工作委员会支持公司与法国燃气合并，但坚决抵制Enel-2-
默克公司组建仿制药合资公司,1,13,SunPharma与默克公司组建仿制药合资公司，目标为新兴市场
Synutra中国附属公司,1,13,Synutra中国附属公司以660万美元收购北京汇联食品资产>SYUT
TPG-Newbridge,2,13,TPG-Newbridge争取中国网通对电讯盈科交易的支持-消息人士
Transatlantic,2,13,Transatlantic将与Alleghany合并，交易价值为34亿美元
WorleyParsons,1,13,WorleyParsons最有希望获得雪佛龙中国合约－知情人士
诺基亚与西门子组建合资公司,1,13,爱立信首席执行长:诺基亚与西门子组建合资公司有利于行业发展
英国莱斯银行澳大利亚子公司,1,13,澳新银行退出对英国莱斯银行澳大利亚子公司的竞购-知情人
湛江港（集团）股份有限公司,1,13,宝钢收购湛江港（集团）股份有限公司8%股份－报导
本田汽车中国摩托车合资企业,1,13,本田汽车中国摩托车合资企业提高在华工厂产能和投资
标致雪铁龙中国合资汽车公司,1,13,标致雪铁龙中国合资汽车公司调低2008年销售目标－新华社
Bruns担任公司中国业务,1,13,波音任命JohnW.Bruns担任公司中国业务副总裁>BA
长安福特马自达汽车有限公司,1,13,"长安福特马自达汽车有限公司从周三起召回6,599辆蒙迪欧轿车"
Mercedes-Benz,1,13,戴姆勒：子公司Mercedes-BenzCars1月份销量下降35%
戴姆勒公司首席执行长称公司,1,13,戴姆勒公司首席执行长称公司将因德国税收新政而获益
欧宇航集团股份－德国经济部,1,13,德国拟尽快收购戴姆勒所持欧宇航集团股份－德国经济部文件
Metalloinvest,1,13,俄罗斯银行VTB斥资25亿美元收购Metalloinvest20%股权
法国道达尔公司北海天然气田,1,13,法国道达尔公司北海天然气田的气体泄漏情况加重
福特汽车中国乘用车合资公司,1,13,"福特汽车中国乘用车合资公司1月份销量下滑26.7%，至17,097辆"
荷兰国际集团台湾寿险子公司,1,13,富邦金控将斥资6亿美元收购荷兰国际集团台湾寿险子公司－报导
广东大鹏液化天然气有限公司,1,13,广东大鹏液化天然气有限公司称不会重新进行价格谈判
广东省广晟资产经营有限公司,1,13,广东省广晟资产经营有限公司将收购PanAust19.9%的股权
印度电信业务流程外包子公司,1,13,和记黄埔拟出售印度电信业务流程外包子公司－报导
华电国际电力股份：关联公司,1,13,华电国际电力股份：关联公司将向地产子公司增资人民币9亿元
华能国际电力与海油气电公司,1,13,华能国际电力与海油气电公司签订协议探索天然气发电合作机遇
加拿大退休金计划投资委员会,1,13,加拿大退休金计划投资委员会将向一家新基金投资2亿美元
ArcelorMittal,1,13,简讯：ArcelorMittal调整管理层
江西赛维LDK太阳能第三财,1,13,江西赛维LDK太阳能第三财季亏损扩大；下调全年业绩预期
ConocoPhillip,1,13,康菲石油(ConocoPhillip)在华已投产气田待售
ComfortDelgro,2,13,"康福德高(ComfortDelgro)斥资7,320万新元收购沈阳客运公司"
Internasional,1,13,两家中国银行有意收购BankInternasional股份－报导
伦敦金属交易所新加坡办事处,1,13,伦敦金属交易所新加坡办事处正式开业;与新加坡交易所商谈合作
Temple-Inland,1,13,美国公司债：投资者寻求从Temple-Inland获得风险补偿
美国西南航空第一财季净利润,1,13,美国西南航空第一财季净利润下滑55%，因燃油价格上涨>LUV
RenaissanceRe,1,13,美再保险商RenaissanceRe正就入股中再集团展开谈判－报导
Acquisitions,1,12,ABAcquisitions将其对AllianceBoots的收购价上调至每股11.39英镑
MeadWestvaco,1,12,AccoBrands将以8.6亿美元收购MeadWestvaco的消费类业务
Australasian,1,12,AustralasianResources的39亿澳元铁矿石项目获工商银行支持
Brown-Forman,1,12,Brown-Forman计划出售葡萄酒业务－知情人士
CapitaRetail,1,12,CapitaRetailChinaTrust将斥资3.36亿新元收购北京购物中心
Technologies,5,12,ChinaMedicalTechnologies将首次发行ADS定价为15美元
Consolidated,3,12,ConsolidatedMedia股东批准新闻集团19.4亿澳元的收购计划
Co-operative,3,12,Co-operativeBank将筹集15亿英镑新资本金
GittiGidiyor,1,12,EBay将把其在土耳其在线拍卖网站GittiGidiyor的股权提高至93%
Enel-Acciona,1,12,Endesa董事会周三将决定是否反对Enel-Acciona收购提议－报导
LightSquared,1,12,Ergen提议以20亿美元收购LightSquared部分频谱-知情人士
Falconbridge,3,12,Falconbridge管理人士：铜价长期内将继续保持高位>FAL
Kocherlakota,1,12,Fed官员Kocherlakota：美国房地产市场需要私人资本
Fisher-Price,1,12,Fisher-Price将召回近一百万件中国制造的玩具
Hydro-Quebec,1,12,Hydro-Quebec将以47.5亿加元收购NewBrunswickPower多数资产
Southeastern,7,12,Icahn和Southeastern提出戴尔私有化计划的替代性方案
Intelsat证实公司,1,12,Intelsat证实公司将以32亿美元收购PanAmSat>PA
InterDigital,4,12,InterDigital称ITC将评估有关公司专利侵权指控的裁决
Construction,1,12,KierConstruction获得港铁公司1.25亿英镑隧道合约
LCH.Clearnet,3,12,LCH.Clearnet将与刚刚成立的香港商品交易所建立清算关系
Norddeutsche,1,12,Norddeutsche：中国可能释放了部分国储铜
Northumbrian,5,12,NorthumbrianWater：长江基建提出465便士的修改后收购提议
NorthWestern,1,12,NorthWestern董事会接受Babcock&Brown22亿美元收购要约
Teleservices,1,12,NTT移动通讯和法国电信有意收购TataTeleservices股权－报导
Bellsystem24,1,12,PacificNet和Bellsystem24将在中国组建一家咨询服务子公司
PetroVietnam,3,12,PetroVietnam:PVOil与中国联合石化就原油贸易签署谅解备忘录
Phillips-Van,2,12,Phillips-VanHeusen将斥资30亿美元收购TommyHilfiger
Integrations,1,12,PowerIntegrations：ITC将就其专利侵权指控展开调查>POWI
Pricelne.com,1,12,Pricelne.com和SabreTravel签署长期全球分销系统协议
Register.com,2,12,Register.com：百度的指控毫无根据
Entertaiment,1,12,RelianceEntertaiment或将竞购米高梅公司－报导
美国运通商谈组建合资公司,1,12,RelianceIndustries与美国运通商谈组建合资公司－报导
Case-Shiller,2,12,S&amp;P/Case-Shiller第四季度美国房价指数下降8.9%
Saint-Gobain,1,12,Saint-Gobain周三证实向BPB发出收购要约
Shipbuilding,1,12,STXShipbuilding投资350亿韩圆在中国成立全资子公司
Petro-Canada,1,12,SuncorEnergy与Petro-Canada的并购交易不会导致其出售资产
Connectivity,1,12,TEConnectivity将斥资约21亿美元收购法国DeutschGroup
Ticketmaster,2,12,Ticketmaster将为北京奥运会提供票务服务
北京飞机维修工程有限公司,1,12,UAL旗下联合航空计划与北京飞机维修工程有限公司签署维修协议
Laboratories,1,12,UnitedLaboratories拟通过香港IPO筹资8.25亿港元－合约细则
埃克森美孚法国炼油厂工会,1,12,埃克森美孚法国炼油厂工会正在与管理层谈判，考虑举行罢工
挪威国家石油公司坦桑尼亚,1,12,埃克森美孚洽购挪威国家石油公司坦桑尼亚区块－消息人士
安本亚洲资产管理有限公司,1,12,安本亚洲资产管理有限公司：中资银行股是政府的政策工具
美国运通计划出售工商银行,2,12,安联保险和美国运通计划出售工商银行股份－知情人士
鞍山钢铁集团收购攀钢集团,1,12,鞍山钢铁集团收购攀钢集团三家上市子公司各5.09%的股权
澳大利亚法院驳回苹果公司,1,12,澳大利亚法院驳回苹果公司寻求修改三星电子产品强制令的请求
中国石油国际事业有限公司,1,12,巴西Petrobras与中国石油国际事业有限公司签订乙醇合作协议
百胜餐饮中国业务第一财季,1,12,百胜餐饮中国业务第一财季同店销售额降20%，但2月份实现反弹
北京大学中国经济研究中心,1,12,北京大学中国经济研究中心预测二季度CPI增7.8%－报导
本田汽车合资企业广州本田,1,12,本田汽车合资企业广州本田准备加强在中国的研发业务
Ravensthorpe,2,12,必和必拓将于11月25日就Ravensthorpe镍矿举行最终招标－消息
中国汇源果汁控股有限公司,1,12,达能集团收购中国汇源果汁控股有限公司22.18%的股权
福田汽车签署卡车合资公司,1,12,戴姆勒公司和福田汽车签署卡车合资公司协议
SecondMarket,1,12,"淡马锡控股和李嘉诚基金会向SecondMarket投资1,500万美元"
Paranapanema,1,12,淡水河谷将斥资至多11.3亿美元收购Paranapanema全部股份
美国运通同意收购工商银行,1,12,德国报摘：安联保险、高盛及美国运通同意收购工商银行10%股份
云南省国资委组建合资公司,1,12,东方航空将与云南省国资委组建合资公司，持65%股份
东亚银行（中国）有限公司,1,12,东亚银行（中国）有限公司2007年贷款增长70%
中国金鹰基金管理有限公司,1,12,东亚银行将入股中国金鹰基金管理有限公司－路透社
荷兰皇家壳牌尼日利亚油田,1,12,多家公司有意收购荷兰皇家壳牌尼日利亚油田股权－彭博新闻
Petroecuador,1,12,厄瓜多尔石油公司Petroecuador与中国石油签署原油销售合同
法国兴业银行（中国）公司,1,12,法国兴业银行（中国）公司即将推出人民币零售银行业务
法国兴业银行亚洲私人银行,1,12,法国兴业银行亚洲私人银行部门裁员约10%－消息人士
中国石化青岛炼油化工公司,1,12,法国液化空气公司接获中国石化青岛炼油化工公司供应合约
辽宁阁纳保险代理有限公司,1,12,泛华保险服务集团收购辽宁阁纳保险代理有限公司股权
丰田汽车10-12月集团,1,12,"丰田汽车10-12月集团净利4,267亿日圆，上年同期3,975亿日圆"
丰田汽车中国合资企业一汽,1,12,丰田汽车中国合资企业一汽丰田年产能提升至2.3万辆
福特汽车首席执行长称公司,1,12,福特汽车首席执行长称公司目前没有结盟打算-报导
香港置地计划组建合资公司,1,12,富联国际和香港置地计划组建合资公司，投资大陆房地产市场
富通集团比利时保险子公司,1,12,富通集团比利时保险子公司出售给法国巴黎银行的交易前景未卜
Sathianathan,1,12,港机工程：执行董事Sathianathan将于1月31日退休
Cosmopolitan,1,12,各集团争购豪华赌场CosmopolitanResortCasino>HOT
阿里巴巴集团推迟附属公司,1,12,更新：阿里巴巴集团推迟附属公司上市计划
中国海洋石油第一财季收入,1,12,更新：中国海洋石油第一财季收入增59%，得益于油价上涨
中国中兴通讯05年净利润,1,12,更新：中国中兴通讯05年净利润上升1.2%；公司调整产品组合
荷兰国际集团美国网上银行,2,12,更正：CapitalOne竞得荷兰国际集团美国网上银行业务－知情人士
江西赛维LDK太阳能公司,1,12,更正：江西赛维LDK太阳能公司将提前偿还Q-Cells的贷款
中国五矿集团合资保险公司,3,12,工商银行将收购安盛与中国五矿集团合资保险公司的60%股权
工银瑞信基金管理有限公司,1,12,工银瑞信基金管理有限公司在香港设立分支机构
中国消费者成路易威登集团,1,12,股闻天下：中国消费者成路易威登集团最大买家
中国银监会新规令信托公司,1,12,股闻天下：中国银监会新规令信托公司前景堪忧
台湾企业组建合资保险公司,1,12,海南航空与台湾企业组建合资保险公司一事已获政府批准
法国巴黎银行成立合资公司,1,12,合作金库银行可能在3Q敲定与法国巴黎银行成立合资公司的计划
盐田港西港区码头合资公司,1,12,和记黄埔将增加对盐田港西港区码头合资公司的投资
荷兰银行董事会管理不善案,1,12,荷兰股东协会起诉荷兰银行董事会管理不善案将于周六开庭审理
荷兰国际集团亚洲私人银行,3,12,荷兰国际集团亚洲私人银行资产获得五份竞购提议－知情人士
NBCUniversal,1,12,黑石集团提出向NBCUniversal转让奥兰多环球影城50%的股份>BX
中原证券组建合资证券公司,1,12,花旗集团计划与中原证券组建合资证券公司－报导
巴西Redecard公司,1,12,花旗集团将转售巴西Redecard公司股份>C
花旗集团联手国际金融公司,1,12,花旗集团联手国际金融公司提供12.5亿美元贸易融资－报导
花旗集团准备组建合资公司,1,12,花旗集团准备组建合资公司剥离非核心资产－报导
UnitedHealth,3,12,华尔街见闻：UnitedHealth逆风而行
华能国际子公司燃气热电联,1,12,华能国际子公司燃气热电联产扩建工程项目获北京市政府核准
华为CEO任正非披露公司,1,12,华为CEO任正非披露公司领导结构
汇丰晋信基金管理有限公司,1,12,汇丰晋信基金管理有限公司周一正式开业
Alimentation,1,12,加拿大Alimentation将以28亿美元收购StatoilFuel&amp;Retail
江西铜业：吴金星辞任公司,1,12,江西铜业：吴金星辞任公司财务总监一职
杰克逊伦敦演唱会推广公司,1,12,杰克逊伦敦演唱会推广公司面临史上最大退票潮
江淮汽车洽谈合资卡车公司,1,12,卡特彼勒和Navistar与江淮汽车洽谈合资卡车公司事宜－路透社
中国本土私人资本运营公司,1,12,凯雷投资集团Rubenstein：中国本土私人资本运营公司带来挑战
中国分时广告传媒有限公司,1,12,"凯雷向中国分时广告传媒有限公司投资2,000万美元"
康菲石油公司新泽西州汽油,1,12,康菲石油公司新泽西州汽油生产设备有望于本周恢复生产>COP
克莱斯勒CEO称预计公司,1,12,克莱斯勒CEO称预计公司2011年将实现盈利－彭博资讯
中石油江苏液化天然气公司,1,12,昆仑能源将收购中石油江苏液化天然气公司55%股权
Peterborough,1,12,莱斯银行将关闭英国Peterborough的后勤中心>LYG
中国铝业组建铝业合资公司,1,12,力拓认为有与中国铝业组建铝业合资公司的可能性－报导
中国恒泰证券组建合资公司,1,12,麦格理集团与中国恒泰证券组建合资公司－报导
Commonwealth,1,12,美国公司债：投资级市场走稳，Commonwealth发行10年期新债
美国国会投票反对迪拜公司,1,12,美国国会投票反对迪拜公司收购美国港口的交易
BlackBerries,1,12,美国国际贸易委员会拟调查BlackBerries和iPods中的闪存晶片
美国圣路易斯联邦储备银行,5,12,美国圣路易斯联邦储备银行行长Poole：Fed目标利率水平适宜-2-
美国众议院金融服务委员会,1,12,美国众议院金融服务委员会主席Frank：应解散房利美和房地美
BrightSource,1,12,美能源部增加BrightSource太阳能项目贷款，谷歌成项目投资者
Buenaventura,1,12,秘鲁BuenaventuraSAA旗下Uchucchacua银矿的矿工开始罢工
摩根士丹利台湾分公司首席,2,12,摩根士丹利台湾分公司首席执行长林水仙辞职-备忘录-2
尼日尔三角洲解放运动组织,1,12,尼日尔三角洲解放运动组织：实施了针对壳牌生产设施的袭击
中国甘肃省电力投资集团,1,11,重发：中国甘肃省电力投资集团将发9亿元365天期融资券
中国中海集装箱运输股份,2,11,重发：中国中海集装箱运输股份2006年净利润下降76%
专访∶瑞安房地产料中国,3,11,专访∶瑞安房地产料中国货币政策继续放松、楼市销量回升-2-
Scandinavia,3,11,3Scandinavia推出MP3手机
Huawei-3Com,1,11,3ComCorp.获得合资公司Huawei-3Com多数股权>COMS
中国汽车制造商力帆集团,1,11,AIG将入股中国汽车制造商力帆集团，参股比例未公布－报导
Antofagasta,4,11,Antofagasta管理人士称中国正在补充铜库存，但实际需求放缓
ArjoWiggins,1,11,ArjoWiggins将收购浙江凯恩股份子公司37.7%的股权
Development,5,11,AsianCoastDevelopment考虑两年内在香港进行IPO－报导
Electronics,8,11,BeatsElectronics寻求回购HTC持股并筹集新资金
Investments,4,11,Belle、SMInvestments和新濠博亚娱乐计划签署赌场合作协议
Benedictine,1,11,BenedictineSisters和Afscme雇员退休金计划提议分拆花旗集团
Residential,3,11,Berkshire拟收购ResidentialCapital抵押贷款资产
Couche-Tard,1,11,Casey&apos;sGeneral董事会拒绝了Couche-Tard的敌意收购提议
Philippines,1,11,ChinatrustPhilippines上年年底不良贷款率为5.4%
苏格兰皇家银行集团亚洲,1,11,CIMB在收购苏格兰皇家银行集团亚洲资产的竞标中领先-消息人士
Enterprises,5,11,Coca-ColaEnterprises第三财季利润增37%；上调财年收益预期>CCE
Coffeyville,1,11,Coffeyville遭洪水破坏的堪萨斯炼油厂提前恢复生产
ConnectEast,1,11,ConnectEast接受CP2提出的14亿澳元收购提议
MidAmerican,6,11,Constellation称MidAmerican的收购提议优于其他竞购者>CEG
Continental,5,11,ContinentalAG：新的在华刹车系统制造厂将于2008年投入运营
Countrywide,17,11,Countrywide：公司面临史无前例的困境
DoubleClick,10,11,DoubleClick研究出售公司方案，正在与微软谈判
Eurocontrol,1,11,"Eurocontrol预计火山灰云将导致周一航班减少1,000个"
Verizon-MCI,1,11,FCC批准Verizon-MCI和西南贝尔-AT&T的两项并购交易
FirstEnergy,2,11,FirstEnergy第四财季净利润下滑5.9%；因支出增加>FE
Cablevision,2,11,Fox电视网络与Cablevision就节目转播费达成原则性协议
Kusasalethu,1,11,HarmonyGold或因工人动乱关闭旗下Kusasalethu金矿
Infosystems,2,11,HCLCorp否认计划向联想集团出售HCLInfosystems股权的报导
Healthscope,4,11,Healthscope：推荐接受凯雷和TPG每股6.26澳元的收购报价
