entity,times,length,source
ChinaTechnologyDevelopment,1,26,ChinaTechnologyDevelopment持股人抛出56万股该公司股票
ChinaTechnologyGlobal首席财务长,1,26,ChinaTechnologyGlobal首席财务长辞职>CTGLF
JapanAirlinesInternational,1,26,JapanAirlinesInternational将波音747-400改装货机订单转为确定订单>BA
AlcanPackagingFoodAmericas,1,26,力拓完成12亿美元出售AlcanPackagingFoodAmericas的交易
ADP-MacroeconomicAdvisers,3,25,ADP-MacroeconomicAdvisers预计8月份新增就业人数3.8万人
AssociatedBritishPorts董事会,1,25,AssociatedBritishPorts董事会接受高盛集团新的收购要约
BankofTokyo-MitsubishiUFJ,1,25,BankofTokyo-MitsubishiUFJ开始营业，有意投资中资银行
ChinatrustPhilippines上年年底,1,25,ChinatrustPhilippines上年年底不良贷款率为5.4%
Fortescue创始人AndrewForrest,1,25,Fortescue创始人AndrewForrest将卸任CEO一职，并出任董事长
GoldmanSachsInternational,1,25,"FSA对GoldmanSachsInternational处以1,750万英镑罚金"
RREEFChinaCommercialTrust,1,25,RREEFChinaCommercialTrust拟通过香港IPO筹资3亿美元
STMicroelectronics计划2006年,1,25,STMicroelectronics计划2006年在中国的销售额至少提高20%
子公司Mercedes-BenzCars1月份销量,1,25,戴姆勒：子公司Mercedes-BenzCars1月份销量下降35%
ShelekhovPowderMetallurgy,1,25,俄联合铝业公司：ShelekhovPowderMetallurgy发生爆炸事故
恒天然新西兰乳品部门董事总经理GaryRomano,1,25,恒天然新西兰乳品部门董事总经理GaryRomano辞职
DarEsSalaamInvestmentBank,1,25,汇丰控股完成对DarEsSalaamInvestmentBank的收购>HBC
Amtrak地铁线纽约市PennStation站,1,24,Amtrak地铁线纽约市PennStation站的入口被关闭-CNN
ChinaMedicalTechnologies,1,24,ChinaMedicalTechnologies将首次发行ADS定价为15美元
ChinaMetallurgicalInvest,1,24,EmergentResources与ChinaMetallurgicalInvest合建企业
InterContinentalExchange,2,24,InterContinentalExchange提出收购CBOTHoldings>ICE
IntercontinentalExchange,3,24,IntercontinentalExchange与CFTC和FSA合作发布能源市场信息
LondonStockExchangeGroup,1,24,LondonStockExchangeGroup证实已拒绝那斯达克的收购要约
SABMiller旗下雪花啤酒品牌2005年销量,1,24,SABMiller旗下雪花啤酒品牌2005年销量增长近50%
SolomonMutualSavingsBank,1,24,SolomonMutualSavingsBank希望收购韩国券商KGISecurities
SonyMobileCommunications,1,24,"SonyMobileCommunications拟裁员1,000人，公司总部迁至东京"
Valero旗下CorpusChristi炼油厂,1,24,Valero旗下CorpusChristi炼油厂的一炼油装置恢复生产>VLO
澳大利亚MacquarieAirports子公司,1,24,澳大利亚MacquarieAirports子公司出售所持美兰机场股权
ProvidenceEquityPartners,1,24,百度将收购ProvidenceEquityPartners持有的爱奇艺股份
标准普尔Case-Shiller房价指数10月份,1,24,标准普尔Case-Shiller房价指数10月份下降6.7%
信贷银行首席执行长Matthaeus-Maier,1,24,德国重建信贷银行首席执行长Matthaeus-Maier辞职－消息人士
Coca-ColaEnterprises北美业务,1,24,可口可乐完成对Coca-ColaEnterprises北美业务的收购>KO
梅塞德斯轿车集团负责人EckhardCordes,1,24,梅塞德斯轿车集团负责人EckhardCordes将于本月底离职
AberdeenAssetManagement,1,23,AberdeenAssetManagement：正在洽谈中国合资项目
BancoComercialPortugues,1,23,BancoComercialPortugues完成以1.79亿欧元出售澳门资产交易
Coca-ColaEnterprises董事会,1,23,Coca-ColaEnterprises董事会批准规模15亿美元的股票回购计划>CCE
DeutscheAssetManagement,1,23,DeutscheAssetManagement任命Liedtke为日本以外亚太区业务CEO
HarperCollinsPublishers,1,23,HarperCollinsPublishers关注中国市场
INGInvestmentManagement,1,23,INGInvestmentManagement任命GrantBailey为亚洲区新CEO
KingfisherAirlines董事长计划,1,23,KingfisherAirlines董事长计划收购AirSahara
MacquarieLondonExchange,1,23,MacquarieLondonExchange不会提高或延长对LSE的收购要约
Valero得州ThreeRivers炼油厂硫,1,23,Valero得州ThreeRivers炼油厂硫回收装置出现故障
VolkswagenOfAmerica12月份,1,23,VolkswagenOfAmerica12月份的销量较上年同期下降14%
澳大利亚LiquefiedNaturalGas,1,23,澳大利亚LiquefiedNaturalGas暂停Gladstone项目－报导
BarclaysGlobalInvestors,1,23,贝莱德将以近140亿美元收购BarclaysGlobalInvestors>BLK
ConstellationEnergy核电业务,1,23,法国电力将收购ConstellationEnergy核电业务49.99%的股权
菲律宾SMInvestments计划2015年,1,23,菲律宾SMInvestments计划2015年将中国购物中心业务分拆上市
葛兰素史克董事长ChristopherGent,1,23,葛兰素史克董事长ChristopherGent将辞职-报道
TravellersInternational,1,23,更正：TravellersInternational通过首次债券发行融资3亿美元
柬埔寨SingaporeBankingCorp,1,23,国泰金控：将收购柬埔寨SingaporeBankingCorp70%的股权
DarEsSalaamInvestmentBk,1,23,"汇丰控股：将认购DarEsSalaamInvestmentBk2,028万美元供股股票"
矿业公司FreeportIndonesia高管,1,23,矿业公司FreeportIndonesia高管在印尼酒店爆炸中受伤－报导
李嘉诚旗下HorizonHospitality,1,23,李嘉诚旗下HorizonHospitality推迟香港IPO发行前推介－消息
中药制造商ChinaSkyOneMedical,1,23,美国SEC指控中药制造商ChinaSkyOneMedical虚报业绩
AviationPartnersBoeing,1,22,AviationPartnersBoeing获得来自两家中国航空公司的订单
CapitaRetailChinaTrust,1,22,CapitaRetailChinaTrust将斥资3.36亿新元收购北京购物中心
ChinaEnergySavingsTech,2,22,ChinaEnergySavingsTech面临SEC的非正式调查
Freeport-McMoRanCopper,1,22,Freeport-McMoRanCopper将收购费尔普斯-道奇>FCXPD
印度软件公司NetworkSolutions,1,22,IBM将收购印度软件公司NetworkSolutions，金额不详>IBM
RelianceCommunications,5,22,MTN计划对RelianceCommunications发起反向收购-《金融时报》
NationalBankofAbuDhabi,1,22,NationalBankofAbuDhabi：将在谨慎前提下继续向迪拜放贷
NationalBankofGreece股东,1,22,NationalBankofGreece股东批准与Eurobank合并的计划
NortheastUtilitie4Q净利润,1,22,NortheastUtilitie4Q净利润增53%，因支出减少并获利息收益>NU
AsiaBroadcastSatellite,1,22,Permira收购AsiaBroadcastSatellite多数股权
ShanghaiPrimeMachinery,1,22,ShanghaiPrimeMachinery：IPO将最多筹集12.6亿港元
SUNDAYCommunications股东,1,22,SUNDAYCommunications股东拒绝了电讯盈科的全面收购计划
TataSteel竞购者UnitedCoal,1,22,TataSteel竞购者UnitedCoal－报导
ValeantPharmaceuticals,1,22,ValeantPharmaceuticals将收购MedicisPharmaceutical
PolskaTelefoniaCyfrowa,1,22,Vivendi出价25亿欧元收购PolskaTelefoniaCyfrowa49%股份
贝塔斯曼BMGMusicPublishing,1,22,Vivendi接近达成收购贝塔斯曼BMGMusicPublishing的交易
澳大利亚WhiteCliffMinerals,1,22,澳大利亚WhiteCliffMinerals委聘Somerley为投资和财务顾问
BerkshireHathaway2012年,2,22,巴菲特称BerkshireHathaway2012年跑输大盘
美国ArcherDanielsMidland,1,22,美国ArcherDanielsMidland将投资农行IPO－知情人士>ADM
啤酒商Anheuser-BuschInBev,1,22,美国公司债：啤酒商Anheuser-BuschInBev发行50亿美元债券
MacroeconomicAdvisers,2,21,ADP/MacroeconomicAdvisers预计10月非农就业人数增12.8万人
AngloAmerica煤矿子公司拟09年,1,21,AngloAmerica煤矿子公司拟09年向中国合资项目投资40亿美元
AppliedMaterials首席执行长,1,21,AppliedMaterials首席执行长：收入持平，因客户保持谨慎>AMAT
AsianCoastDevelopment,1,21,AsianCoastDevelopment考虑两年内在香港进行IPO－报导
AustralasianResources,1,21,AustralasianResources的39亿澳元铁矿石项目获工商银行支持
ChinaNaturalResources,1,21,ChinaNaturalResources收购Longchuan45%股权及矿产勘探权
ChinalcoMining香港IPO计划,1,21,ChinalcoMining香港IPO计划获批，拟筹资10亿美元－知情人士
CliffordChance2005年亚洲,1,21,CliffordChance2005年亚洲并购咨询业务表现最佳-Thomson
FreedomCommunications,1,21,FreedomCommunications推迟股权回购
GlencoreInternational,2,21,GlencoreInternational拟以4.75亿美元收购Marcobre70%股权
Hynix-STSemiconductor,2,21,Hynix-STSemiconductor将获得7.5亿美元银团贷款
KOHLBERGKRAVISROBERTS,1,21,KOHLBERGKRAVISROBERTS瞄准亚洲并购交易市场
BetterHomesAndGardens,1,21,Meredith推出《BetterHomesAndGardens》杂志中文版
MicroEmissiveDisplays,1,21,MicroEmissiveDisplays与环隆电气签署谅解备忘协议
JacksonSquareAviation,1,21,MitsubishiUFJLease就收购JacksonSquareAviation进行最後谈判-知情人
MotorolaMobility首席执行长,1,21,MotorolaMobility首席执行长：预计第一财季收支平衡－CNBC
PacificAndesResources,1,21,PacificAndesResources寻求发售人民币债券－消息人士
AbleEntertainmentTech,1,21,PacificNet子公司以股权交易收购AbleEntertainmentTech>PACT
SouthernCopper秘鲁子公司工人,1,21,SouthernCopper秘鲁子公司工人可能暂停罢工－工会
ToyotaSalesUSA3月份汽车销量,1,21,"ToyotaSalesUSA3月份汽车销量下滑10%至217,730辆"
VerizonCommunications,2,21,VerizonCommunications或最早于下周发行250亿美元新债-消息
印度手机运营商HutchisonEssar,1,21,Verizon被传有意入股印度手机运营商HutchisonEssar-PTI
KohlbergKravisRoberts,1,21,Vivendi证实与KohlbergKravisRoberts举行过收购谈判
视频制作商NextNewNetworks-,1,21,YouTube洽购视频制作商NextNewNetworks-《纽约时报》
澳大利亚IndophilResources,1,21,澳大利亚IndophilResources接到金蕴矿业所发收购要约
公司BerkshireHathaway去年,1,21,巴菲特投资公司BerkshireHathaway去年第四财季利润增长43%
俄罗斯果汁公司Lebedyansky控股权,1,21,百事公司计划收购俄罗斯果汁公司Lebedyansky控股权－报导
旗下High-GradeHedgeFund,3,21,贝尔斯登：将为旗下High-GradeHedgeFund提供32亿美元贷款-2
首席执行长ChristianStreiff,1,21,标致雪铁龙集团解除首席执行长ChristianStreiff的职务
巴西PositivoInformatica,2,21,戴尔公司与联想集团竞购巴西PositivoInformatica－报导
东方海外财务总裁KennethCambie,1,21,东方海外财务总裁KennethCambie将离职
法国PSA标致雪铁龙集团中国合资企业06年,1,21,法国PSA标致雪铁龙集团中国合资企业06年售出汽车20万辆
TerminiImerese厂2011年前,1,21,菲亚特CEO：TerminiImerese厂2011年前仍生产汽车－消息人士
SanyoElectricCredit股权,1,21,高盛或很快就出售SanyoElectricCredit股权一事达成协议
AtherosCommunications,1,21,高通公司将以31亿美元收购AtherosCommunications>QCOMATHR
壳牌加拿大Groundbirch页岩气资产,1,21,更新：中国石油收购壳牌加拿大Groundbirch页岩气资产20%股权
DaewooInternational股权,1,21,韩国拟于2010年下半年完成出售DaewooInternational股权交易
ADCTelecommunications,1,21,"宏达国际将出资7,500万美元购买ADCTelecommunications的专利"
FidelityNational收购案变数,1,21,华平创业令FidelityNational收购案变数增加
NorwichUnionInsurance,1,21,汇丰控股将与NorwichUnionInsurance组建合资公司
美国国际集团前首席执行长Greenberg,1,21,美国国际集团前首席执行长Greenberg：继续评估该公司的处境
BurlingtonResources事宜,1,21,美国康菲石油就收购BurlingtonResources事宜展开积极谈判
ActionsSemiconductor,1,20,ActionsSemiconductor将美国存托股票价格定为每份8美元
5年内Windows平板电脑市场占有率料,1,20,AMD首席执行长：5年内Windows平板电脑市场占有率料将增至20%
AmericanTowersCorp计划,1,20,AmericanTowersCorp计划加入Aircel电信塔的竞购战－报导
AndesPetroleum厄瓜多尔油田,1,20,AndesPetroleum厄瓜多尔油田面临停产威胁
CapeLambertIronOre股东,1,20,CapeLambertIronOre股东批准与中冶集团价值4亿澳元的交易
CharoenPokphandFoods,1,20,CharoenPokphandFoods：以663.1亿泰铢收购卜蜂国际74%股权
ChinaPropertiesGroup,1,20,ChinaPropertiesGroup重启发债计划，周五起路演－消息
Coca-ColaEnterprises,1,20,Coca-ColaEnterprises第三财季利润增37%；上调财年收益预期>CCE
DubaiInvestmentGroup,2,20,DubaiInvestmentGroup买入新鸿基9.88%的股权
瑞典SkypeTechnologies-,1,20,EBay欲出价50亿美元收购瑞典SkypeTechnologies-《纽约邮报》
ElectricaMunteniaSud,1,20,Enel将以8.20亿欧元收购ElectricaMunteniaSud-消息人士
EverythingEverywhere,2,20,EverythingEverywhere潜在买家加快与银行的谈判—报导
FortescueMetals首席执行长,1,20,FortescueMetals首席执行长称铁矿石价格已见底回升
InternationalPower股权,1,20,GDFSuez或提高对InternationalPower股权的收购报价－知情人
HarvardInternational,2,20,HarvardInternational：金亚科技收购截止时间已被延至4月5日
HBOSTreasuryServices,2,20,HBOSTreasuryServices将发行10亿港元2008年到期的定息债券
HuntingtonBancshares,1,20,HuntingtonBancshares第二财季净利润下滑1.3%>HBAN
JPMorganPartnersAsia,2,20,JPMorganPartnersAsia完成总额15.8亿美元的基金融资
WooriFinanceHoldings,1,20,KDBFinancialGroup或将竞购WooriFinanceHoldings－韩联社
NationalBankofGreece,1,20,NationalBankofGreece在竞购Finansbank中胜出
NokiaSiemensNetworks,4,20,NokiaSiemensNetworks获得了中国的GSM-R订单
PhaunosTimberFund子公司,1,20,"PhaunosTimberFund子公司以1,470万美元收购中国林业资产"
ProsperityMinerals停牌,1,20,ProsperityMinerals停牌，等待重要公告发布
RBSSempraCommodities,1,20,RBSSempraCommodities或重归SempraEnergy－消息人士
RelianceEntertaiment,1,20,RelianceEntertaiment或将竞购米高梅公司－报导
RocklandsRichfield股价,1,20,RocklandsRichfield股价下跌，受Jindal减持股份影响
SinopecDaylight首席执行长,1,20,SinopecDaylight首席执行长面临内幕交易指控
SkyNetworkTelevision,1,20,SkyNetworkTelevision∶新闻集团NewsLtd.将出售其44%股份
SolomonMutualSavings,1,20,SolomonMutualSavings成为KGI中信证券股权的首选买家－报导
SouthernCopper秘鲁公司工会,1,20,SouthernCopper秘鲁公司工会暂停罢工以恢复谈判
TNK-BP子公司Udmurtneft花,1,20,TNK-BP子公司Udmurtneft花落谁家周末前见分晓
SylviaMathewsBurwell,1,20,奥巴马提名SylviaMathewsBurwell任管理及预算办公室主任
悉尼LaneCoveTunnel隧道股权,1,20,澳大利亚麦格理银行收购悉尼LaneCoveTunnel隧道股权-报导
GoldmanSachsJBWere私人,1,20,澳洲银行将收购GoldmanSachsJBWere私人理财业务80.1%的股权
BMGMusicPublishing业务,1,20,贝塔斯曼集团证实出售BMGMusicPublishing业务的交易
MidAmericanEnergy董事长,1,20,比亚迪股份任命MidAmericanEnergy董事长为公司非执行董事
HindustanAeronautics,1,20,波音和HindustanAeronautics签署航空设备生产外包协议>BA
长安福特马自达汽车公司旗下南京整车制造厂,1,20,长安福特马自达汽车公司旗下南京整车制造厂将生产小型汽车
北海Elgin-Franklin天然气田,1,20,道达尔：北海Elgin-Franklin天然气田重新投产
SUNDAYCommunications,2,20,电讯盈科拟以4.013亿港元将SUNDAYCommunications私有化-2-
厄瓜多尔石油公司Petroecuador,1,20,厄瓜多尔石油公司Petroecuador与中国石油签署原油销售合同
DexiaMunicipalAgency,1,20,法国政府将收购DexiaMunicipalAgency31.6%的股份－知情人
菲亚特子公司MagnetiMarelli,2,20,菲亚特子公司MagnetiMarelli将与奇瑞汽车组建合资企业
哈萨克斯坦油气公司KazMunaiGaz,1,20,哈萨克斯坦油气公司KazMunaiGaz拟修建一条到中国的天然气管线
韩国CJGlobalHoldings计划,1,20,韩国CJGlobalHoldings计划发行人民币计价债券－合约细则
韩国HynixSemiconductor,1,20,韩国HynixSemiconductor将投资2.3亿美元在中国设一子公司
PrudentialInvestment,1,20,韩国国民银行就收购PrudentialInvestment一事展开谈判－报导
WashingtonMutualBank,1,20,恒生银行：持有WashingtonMutualBank发行的优先债券
FlashpointTechnology,2,20,宏达国际：FlashpointTechnology再次请求ITC调查专利侵权
澳大利亚CompassResources,1,20,湖南有色金属控股集团收购澳大利亚CompassResources的股权
AutomatedTradingDesk,1,20,花旗集团完成对AutomatedTradingDesk的收购>C
监狱运营商CorrectionsCorp,1,20,华尔街见闻：投资者看好监狱运营商CorrectionsCorp.
PiramalHealthcare控股权,1,20,辉瑞公司可能收购PiramalHealthcare控股权－电视频道
路易斯安那州LakeCharles炼油厂,1,20,康菲石油：路易斯安那州LakeCharles炼油厂正增加产量
旗下NexPowerTechnology,1,20,联华电子计划让旗下NexPowerTechnology在海外上市－报导
美国公司LifeTechnologies,1,20,美国公司LifeTechnologies将收购LabIndia部分股权－报导
秘鲁ShougangHierroPeru,1,20,秘鲁ShougangHierroPeru的矿工工人罢工－工会
WashingtonMutual存款业务,1,20,摩根大通将收购WashingtonMutual存款业务－消息人士
MacquarieConsortium,1,19,ABPorts证实收到MacquarieConsortium至少每股840便士的收购提议
Alcatel-Lucent首席执行长,1,19,Alcatel-Lucent首席执行长重申07财年收入目标－《金融时报》
Anheuser-BuschInBev,2,19,Anheuser-BuschInBev将出售手中剩余少数青岛啤酒股份
Anheuser-BuschInbev,1,19,Anheuser-BuschInbev将通过出售资产削减债务－报导
ArafuraResources稀土矿,1,19,ArafuraResources稀土矿混合稀土价格较去年年底上涨两倍
Barclays首席执行长Varley,1,19,Barclays首席执行长Varley：合并后不会出售荷兰银行资产
CarlfordInvestments,1,19,CarlfordInvestments以24.1亿港元中标香港新界一地块
CenturyTokyoLeasing,1,19,CenturyTokyoLeasing按面值发3年期离岸人民币债券-消息人士
ChinaGrowthMinerals,1,19,ChinaGrowthMinerals收购澳大利亚铀开采商股权
ChinaMedicalSystems,1,19,ChinaMedicalSystems预计将于9月28日在香港交易所上市
ChinaPrecisionSteel,1,19,ChinaPrecisionSteel07财年净利润下降；销售额增55%>CPSL
ConsolidatedMedia股东,1,19,ConsolidatedMedia股东批准新闻集团19.4亿澳元的收购计划
ConstellationBrands,1,19,ConstellationBrands与AVL的合并谈判无果而终
ConstellationEnergy,4,19,ConstellationEnergy与法国电力的交易含有1.75亿美元解约费>CEG
WilmarInternational,1,19,CSR以17.5亿澳元向WilmarInternational出售旗下Sucrogen业务
DaewooInternational,2,19,DaewooInternational签署向中国石油集团销售天然气的备忘录
EdisonInternational,1,19,EdisonInternational第二财季发生亏损，受减损开支拖累>EIX
SundanceResources计划,1,19,GindalbieMetals和SundanceResources计划合并－消息人士
InternationalMining,1,19,InternationalMining∶与河北钢铁公司达成合作协议
KoreaInvestmentCorp,3,19,KoreaInvestmentCorp.将继续持有美国银行股权－管理人士
LondonStockExchange,2,19,LondonStockExchange将于本周五开设北京代表处－消息人士
TevaPharmaceuticals,1,19,Lonza与TevaPharmaceuticals成立生物仿制药合资企业
MicrochipTechnology,1,19,MicrochipTechnology起诉一中国公司侵犯其知识产权
MilkenInstitute年度会议,1,19,MilkenInstitute年度会议与会人员称中国拥有应对经济形势变化的手段
NordAngliaEducation,1,19,NordAngliaEducation签署在华新建学校协议
Android系统主导美国智能手机市场,1,19,NPD：Android系统主导美国智能手机市场；苹果手机占有率上升
OAOSeventhContinent,1,19,OAOSeventhContinent拒绝美国TPG收购其65%股权的要约－报纸
Olli-PekkaKallasvuo,1,19,Olli-PekkaKallasvuo将於明年6月1日起担任诺基亚新任CEO
西澳大利亚州GoldenGrove锌矿,1,19,OZMinerals关闭西澳大利亚州GoldenGrove锌矿的加工厂
IsraelChemicals股权事宜,1,19,Potash正洽谈增持IsraelChemicals股权事宜－路透社
PrudentialFinancial,2,19,PrudentialFinancial：中国合资企业新总经理人选尚未确定
微软旗下数字广告公司Razorfish,1,19,Publicis最有希望收购微软旗下数字广告公司Razorfish>MSFT
RelationalInvestors,1,19,RelationalInvestors将获得惠普公司董事会席位
Smithfield首席执行长Pope,1,19,Smithfield首席执行长Pope在美参议院听证会上为收购交易辩护
TelekomMalaysia旗下企业,1,19,TelekomMalaysia旗下企业将持有第一通17.7%的股权
UniversalMusic首席执行长,1,19,UniversalMusic首席执行长：YouTube和MySpace违反版权法
VolkswagenOfAmerica,1,19,VolkswagenOfAmerica以改装报警器线路为由召回2011款捷达车
FederatedDepartment,1,19,Westfield将收购FederatedDepartment15家店面>FD
WORLDCOM创始人Ebbers今日,1,19,WORLDCOM创始人Ebbers今日可能将被判处长达85年的监禁
ZurichInternational,1,19,ZurichInternational获准在台湾开设寿险分支机构
瑞士信贷旗下子公司Winterthur,1,19,安盛就收购瑞士信贷旗下子公司Winterthur展开独家谈判
澳大利亚AquilaResources,1,19,宝钢集团收购澳大利亚AquilaResources15%股权－新华社
英国NorthumbrianWater,1,19,长江基建已完成对英国NorthumbrianWater的收购
美国AnadarkoPetroleum,1,19,传言称必和必拓可能考虑收购美国AnadarkoPetroleum－报导
公司DuPontTeijinFilms,1,19,杜邦为旗下合资公司DuPontTeijinFilms物色买家－彭博
首席营运长BruceWitherell,1,19,房地美首席营运长BruceWitherell辞职
菲亚特旗下MagnetiMarelli,1,19,菲亚特旗下MagnetiMarelli将与上海汽车在中国成立合资企业
HumanGenomeSciences,1,19,葛兰素史克向HumanGenomeSciences发起敌意收购>GSKHGSI
FSTransportation子公司,1,19,更新：IL&amp;FSTransportation子公司拟首次发行离岸人民币债券
中国酒店企业MandarinHotel,1,19,更新：凯雷投资集团收购中国酒店企业MandarinHotel49%股权
澳大利亚NorthernUranium,1,19,更正：中国政府下属机构拟收购澳大利亚NorthernUranium51%股权
法国航空公司AigleAzur股权事宜,1,19,海南航空就收购法国航空公司AigleAzur股权事宜进行磋商
邯郸钢铁股份有限公司三季度净利润人民币,1,19,邯郸钢铁股份有限公司三季度净利润人民币1.115亿元，去年同期为1.849亿元
韩国DaewooEngineering,1,19,韩国DaewooEngineering向摩根士丹利旗下基金出售办公楼
韩国HyundaiAutomotive,1,19,韩国HyundaiAutomotive将与微软联合开发车载资讯娱乐系统
韩国鲜京集团子公司SKNetworks,1,19,韩国鲜京集团子公司SKNetworks将在华成立一燃油合资企业
主权基金KoreaInvestment,1,19,韩主权基金KoreaInvestment考虑投资ChesapeakeEnergy
合资企业ABNAmroMellon股权,1,19,荷兰银行出售合资企业ABNAmroMellon股权的交易业已完成
SubprimePortfolio部门,1,19,花旗集团委任Stuckey负责SubprimePortfolio部门－报导
TerraWestEnergyCorp,1,19,环能国际将收购TerraWestEnergyCorp.48.7%的股份
DecisionOneMortgage,4,19,汇丰控股将关闭DecisionOneMortgage>HBC
AmericasBeverages业务,1,19,吉百利将分拆AmericasBeverages业务>CSG
京东方旗下韩国子公司BOE-Hydis,1,19,京东方旗下韩国子公司BOE-Hydis放弃IPO计划
康菲石油宾夕法尼亚州炼油厂装置料周五前,1,19,康菲石油宾夕法尼亚州炼油厂装置料周五前恢复生产－消息人士
BurlingtonResources,4,19,康菲石油同意以356亿美元收购BurlingtonResources>COP
康佳集团股份有限公司三季度净利润人民币,2,19,康佳集团股份有限公司三季度净利润人民币1150万元，去年同期为1440万元
7月份尼日利亚Forcados终端原油,1,19,壳牌：7月份尼日利亚Forcados终端原油出口仍面临不可抗力
尼日利亚BonnyLight油田日产量,1,19,"壳牌公司证实尼日利亚BonnyLight油田日产量锐减170,000桶"
拉斯维加斯博彩业巨头SteveWynn,1,19,拉斯维加斯博彩业巨头SteveWynn在澳门的赌场即将开业
拉斯维加斯金沙集团旗下威尼斯人澳门公司,1,19,拉斯维加斯金沙集团旗下威尼斯人澳门公司裁员500人
UnitedUtilities旗下资产,1,19,李嘉诚拟收购UnitedUtilities旗下资产－报导
BankInternasional股份,1,19,两家中国银行有意收购BankInternasional股份－报导
美国国际集团前董事长Greenberg,1,19,美国国际集团前董事长Greenberg：次级抵押贷款风波尚未结束
BrightSource太阳能项目贷款,1,19,美能源部增加BrightSource太阳能项目贷款，谷歌成项目投资者
BostonStockExchange,1,19,"那斯达克市场以6,100万美元收购BostonStockExchange>NDAQ"
AXAAsiaPacific资产计划,1,18,ACCC将在9月份就澳洲银行剥离AXAAsiaPacific资产计划作决定
ADP-Macroeconomics,1,18,ADP-Macroeconomics预计美国4月非农就业人数增6.4万
日本子公司AIGEdisonLife,1,18,AIG：将保留日本子公司AIGEdisonLife和AIGStarLife>AIG
AMR旗下美利坚航空公司1月份运载量,1,18,AMR旗下美利坚航空公司1月份运载量同比增加1.4%
Android手机四季度市场份额居冠,2,18,Android手机四季度市场份额居冠（上）
AngloPlatinum2009年,1,18,"AngloPlatinum2009年将裁员至多10,000人"
BenedictineSisters,1,18,BenedictineSisters和Afscme雇员退休金计划提议分拆花旗集团
ResidentialCapital,1,18,Berkshire拟收购ResidentialCapital抵押贷款资产
Berkshire旗下NetJets,1,18,Berkshire旗下NetJets公布在华合资企业的合作夥伴名称
SmitInternationale,1,18,Boskalis收购SmitInternationale的交易获得股东批准
BreakawayResources,1,18,BreakawayResources考虑合作开发镍矿－董事总经理
Bumiputra-Commerce,1,18,Bumiputra-Commerce：正与营口银行就收购股权事宜展开谈判
BurlingtonNorthern,1,18,BurlingtonNorthern第三财季净利润激增；收入增长19%>BNI
ChinaEnergySavings,2,18,ChinaEnergySavings同中国地方政府签署利润分享合约
ChinaHongqiaoGroup,1,18,ChinaHongqiaoGroup拟通过香港IPO筹资约15亿美元-知情人士
