entity,times,length,source
Euronext主要股东不看好NYSE提出的并购方案-,1,27,Euronext主要股东不看好NYSE提出的并购方案-彭博资讯
Exelon和Constellation的并购交易引发,1,27,Exelon和Constellation的并购交易引发马里兰州分析师的担忧
HSBCFrance将斥资2.288亿欧元全盘收购两家,1,27,HSBCFrance将斥资2.288亿欧元全盘收购两家法国保险合资公司
KotakMahindra子公司与宏利资产管理合作发展,1,27,KotakMahindra子公司与宏利资产管理合作发展亚洲基金管理
LG.PhilipsLCD将向惠普供应价值5.05万亿,2,27,LG.PhilipsLCD将向惠普供应价值5.05万亿韩圆的液晶显示屏
Mahindra&amp;Mahindra可能向捷豹和,1,27,Mahindra&amp;Mahindra可能向捷豹和陆虎提出收购提议－报导
MetroPacific在私人配售中额外筹集18.6亿,1,27,MetroPacific在私人配售中额外筹集18.6亿菲律宾比索
NewGenerations财团提议以25亿美元私有化,1,27,NewGenerations财团提议以25亿美元私有化尼日利亚电信
"OpticalCommun将以2,000万美元现金收购",1,27,"OpticalCommun将以2,000万美元现金收购台湾晶谊光电>OCPI"
Rosneft希望在年底前与CNPC组建一家合资企业-,1,27,Rosneft希望在年底前与CNPC组建一家合资企业-新华社
WaratahCoal总投资51.5亿美元电煤项目赢得,1,27,WaratahCoal总投资51.5亿美元电煤项目赢得中国冶金融资支持
(Anheuser)将成为亚太酿酒(APB)虎牌啤酒的,1,27,安海斯(Anheuser)将成为亚太酿酒(APB)虎牌啤酒的美国进口商
国库部长准五矿资源收购AlbumResources及其,1,27,澳大利亚国库部长准五矿资源收购AlbumResources及其澳洲矿产
将NorthernLights油砂项目10%权益转让给,1,27,道达尔将NorthernLights油砂项目10%权益转让给中国石化
多个国家的政府官员对GoogleEarth提出警告-《,1,27,多个国家的政府官员对GoogleEarth提出警告-《纽约时报》
福特汽车(Ford)将以150亿美元向一个投资财团出售,1,27,福特汽车(Ford)将以150亿美元向一个投资财团出售赫兹公司>F
"富地石油公司：FortuneMax增持约1,800万股",1,27,"富地石油公司：FortuneMax增持约1,800万股中国燃气股份"
"(ComfortDelgro)斥资7,320万新元收购",2,27,"康福德高(ComfortDelgro)斥资7,320万新元收购沈阳客运公司"
可口可乐完成对Coca-ColaEnterprises,1,27,可口可乐完成对Coca-ColaEnterprises北美业务的收购>KO
"力成科技股份将支付5,100万美元购买Spansion",1,27,"力成科技股份将支付5,100万美元购买Spansion苏州子公司"
银行旗下GlobalTreasuryServices驻,1,27,美国银行旗下GlobalTreasuryServices驻亚洲业务聘六名高管
BainCapital高管否认3Com收购交易会危及,1,26,BainCapital高管否认3Com收购交易会危及美国国家安全－报导
BarclaysCapital拟出售价值10亿欧元的,1,26,BarclaysCapital拟出售价值10亿欧元的德国地产-《金融时报》
BerkshireHathaway在投资组合中增加了,1,26,BerkshireHathaway在投资组合中增加了维亚康姆和通用汽车
CarphoneWarehouse以3.7亿英镑收购,1,26,CarphoneWarehouse以3.7亿英镑收购美国在线英国互联网业务
Countrywide可能无法按承诺回购部分贷款－《,1,26,Countrywide可能无法按承诺回购部分贷款－《纽约时报》
GoodmanGroup将修建一座耗资4.3亿澳元的,1,26,GoodmanGroup将修建一座耗资4.3亿澳元的香港仓储中心
HoWahGenting计划明年一季度将旗下CVM在,1,26,HoWahGenting计划明年一季度将旗下CVM在香港交易所上市
JaguarLandRover：正在就潜在救助计划与,1,26,JaguarLandRover：正在就潜在救助计划与英国政府磋商－BBC
LondonStockExchange将于本周五开设,1,26,LondonStockExchange将于本周五开设北京代表处－消息人士
OZMinerals出售Martabe项目的计划获得,1,26,OZMinerals出售Martabe项目的计划获得澳大利亚批准
RafflesEducation计划将部分在华业务在,1,26,RafflesEducation计划将部分在华业务在香港交易所上市
ResearchInMotion新首席执行长著手整顿,1,26,ResearchInMotion新首席执行长著手整顿美国业务
STMicroelectronics计划2006年在,1,26,STMicroelectronics计划2006年在中国的销售额至少提高20%
SumitomoRubber：计划投资267亿日圆在,1,26,SumitomoRubber：计划投资267亿日圆在中国新设一家子公司
TataMotors可能需要投资10亿美元重振捷豹和,1,26,TataMotors可能需要投资10亿美元重振捷豹和陆虎品牌－报导
TNK-BP：将Udmurtneft以35亿美元售给,2,26,TNK-BP：将Udmurtneft以35亿美元售给中国石油化工集团-通讯社
Varvatos寻找买家以求与母公司VF脱离关系－《,1,26,Varvatos寻找买家以求与母公司VF脱离关系－《纽约邮报》
财政部长：AngloIrishBank一旦倒闭将压垮,1,26,爱尔兰财政部长：AngloIrishBank一旦倒闭将压垮爱尔兰
将任命NancyKillefer为白宫首席绩效官－《,1,26,奥巴马将任命NancyKillefer为白宫首席绩效官－《纽约时报》
百仕通(Blackstone)投资人民币11亿元收购,1,26,百仕通(Blackstone)投资人民币11亿元收购上海商业地产－报导
汇市早盘：欧元跌破1.31美元创12个月低点；受累于,1,26,北美汇市早盘：欧元跌破1.31美元创12个月低点；受累于希腊
克虏伯同意将子公司TailoredBlanks出售给,1,26,蒂森克虏伯同意将子公司TailoredBlanks出售给武汉钢铁
能源和Progress获60亿美元信贷额度，部分来自,1,26,杜克能源和Progress获60亿美元信贷额度，部分来自中资银行
：未计划合并SouthStream和Nabucco－,1,26,俄罗斯：未计划合并SouthStream和Nabucco－国际文传电讯社
Severstal、BasEl与Renova有意投资,1,26,俄罗斯公司Severstal、BasEl与Renova有意投资蒙古大型煤矿
"丰田汽车(Toyota)将召回565,756辆汽车-",1,26,"丰田汽车(Toyota)将召回565,756辆汽车-日本共同社"
"富地石油公司：FortuneMax购入2,720万股",1,26,"富地石油公司：FortuneMax购入2,720万股中国燃气股份"
更新：联邦储备银行Bullard：Fed仍有可能买进,1,26,更新：联邦储备银行Bullard：Fed仍有可能买进美国国债
据称正就斥资52亿美元收购Gavilon进行深入谈判,1,26,更正：丸红据称正就斥资52亿美元收购Gavilon进行深入谈判－路透社
建设银行将提供15.3亿港元贷款重建与丽新发展共有的,1,26,建设银行将提供15.3亿港元贷款重建与丽新发展共有的香港地块
竞购者开始提交第一轮部分或全部收购华纳音乐的提议－路,1,26,竞购者开始提交第一轮部分或全部收购华纳音乐的提议－路透社
雷诺汽车(Renault)首席执行长：重组期间无进入,2,26,雷诺汽车(Renault)首席执行长：重组期间无进入美国市场的计划
AfricanMinerals作价1.68亿英镑向,1,25,AfricanMinerals作价1.68亿英镑向中国公司出售12.5%股权
"AllianceBoots将斥资5,600英镑收购",1,25,"AllianceBoots将斥资5,600英镑收购南京医药12%股权"
"ArcelorMittal将以2,700万美元收购",1,25,"ArcelorMittal将以2,700万美元收购中国一家钢帘线公司控股权"
Blackstone和Cerberus正式提交收购,1,25,Blackstone和Cerberus正式提交收购克莱斯勒集团的报价－报导
Caissed''Epargne旗下Ixis将收购,1,25,Caissed''Epargne旗下Ixis将收购中国天相投资部分股权
ChryslerCanada可能不会寻求债务保护－,1,25,ChryslerCanada可能不会寻求债务保护－加拿大财政部长
Computershare计划斥资5.5亿美元收购,1,25,Computershare计划斥资5.5亿美元收购纽约银行投资者服务业务
Freeport-McMoRanCopper将收购,1,25,Freeport-McMoRanCopper将收购费尔普斯-道奇>FCXPD
FTC将就苹果公司和谷歌董事会之间的联系展开调查－,1,25,FTC将就苹果公司和谷歌董事会之间的联系展开调查－纽约时报
Glencore与Xstrata的合并交易必须上报,1,25,Glencore与Xstrata的合并交易必须上报欧盟委员会
HarperCollinsPublishers关注,1,25,HarperCollinsPublishers关注中国市场
ITC初步判决，苹果公司未对宏达国际的专利构成侵权,1,25,ITC初步判决，苹果公司未对宏达国际的专利构成侵权－路透社
KoreaInvestmentCorp.将继续持有,2,25,KoreaInvestmentCorp.将继续持有美国银行股权－管理人士
LaCaixa旗下Criteria证实收购了4%的,1,25,LaCaixa旗下Criteria证实收购了4%的东亚银行股权
LibertyGlobal将以3.225亿欧元收购,1,25,LibertyGlobal将以3.225亿欧元收购捷克有线电视运营商
Nielsen/NetRatings：谷歌8月份在,1,25,Nielsen/NetRatings：谷歌8月份在美国搜索市场占有率为50.2%
NikkoCiti首席执行长：没有计划出售任何一项,1,25,NikkoCiti首席执行长：没有计划出售任何一项日本业务
PacificNet和Bellsystem24将在,1,25,PacificNet和Bellsystem24将在中国组建一家咨询服务子公司
RosneftCEO：公司不打算引入战略投资者-《,1,25,RosneftCEO：公司不打算引入战略投资者-《俄罗斯商业日报》
SumitomoMetal将投资30亿日圆提高其在,2,25,SumitomoMetal将投资30亿日圆提高其在台湾的液晶显示器产能
TEConnectivity将斥资约21亿美元收购,1,25,TEConnectivity将斥资约21亿美元收购法国DeutschGroup
TripAdvisor收购酷讯网，到2011年前在,1,25,"TripAdvisor收购酷讯网，到2011年前在中国投资逾5,000万美元"
UniCredit和Intesa用国家担保债券获取,1,25,UniCredit和Intesa用国家担保债券获取欧洲央行贷款－彭博新闻
Veslefrikk油田工人在风暴前撤离作业平台－,1,25,Veslefrikk油田工人在风暴前撤离作业平台－挪威国家石油公司
Sims与MetalManagement合并将造就,1,25,澳洲Sims与MetalManagement合并将造就北美最大金属再生企业
必和必拓：2025年之前全球钢铁产量增幅将主要来自,1,25,必和必拓：2025年之前全球钢铁产量增幅将主要来自中国
参议员Dorgan提出设立一项法案阻止中海石油收购,2,25,参议员Dorgan提出设立一项法案阻止中海石油收购加州联合石油
富邦金控将把旗下大陆非寿险子公司20%的股权出售给,1,25,富邦金控将把旗下大陆非寿险子公司20%的股权出售给厦门港务
更新：泓富资产旗下DynastyREIT本周将启动,1,25,更新：泓富资产旗下DynastyREIT本周将启动新加坡IPO-知情人
更新∶Cable&amp;Wireless拟将所持,1,25,更新∶Cable&amp;Wireless拟将所持澳门电讯股份售予中信国际电讯
更正：SK电讯收购默凯网络科技30%股权，意在进入,1,25,更正：SK电讯收购默凯网络科技30%股权，意在进入中国网游市场
"SKNetworks将投资2,028.2亿韩圆收购",1,25,"韩国SKNetworks将投资2,028.2亿韩圆收购中国铜业公司股权"
泓富资产旗下DynastyREIT拟10月30日在,1,25,泓富资产旗下DynastyREIT拟10月30日在新加坡上市－合约细则
"华能国际电力股份发电装机容量提高3.3%，至31,",1,25,"华能国际电力股份发电装机容量提高3.3%，至31,747兆瓦"
贱金属：LME贱金属大多收盘走高，因美元下跌；关注,1,25,贱金属：LME贱金属大多收盘走高，因美元下跌；关注美国消息
力拓同意将Simandou铁矿石项目的部分股权给予,1,25,力拓同意将Simandou铁矿石项目的部分股权给予几内亚政府
"作价人民币5,100万元出售一项目51%权益予融创",1,25,"绿城中国作价人民币5,100万元出售一项目51%权益予融创中国"
财政部长：NYSE在华设立办事处将推动海外投资流入,1,25,美国财政部长：NYSE在华设立办事处将推动海外投资流入中国
法官拒绝苹果关于禁止部分三星Galaxy系列产品在,1,25,美国法官拒绝苹果关于禁止部分三星Galaxy系列产品在美销售的请求
任命OlinWethington担任AIGCos.,1,25,美国国际集团任命OlinWethington担任AIGCos.中国业务董事长
AFKSistema计划获得在华移动通信牌照－《,1,24,AFKSistema计划获得在华移动通信牌照－《俄罗斯商业日报》
Alcatel-Lucent：海外贿赂调查扩大到,1,24,Alcatel-Lucent：海外贿赂调查扩大到台湾及肯尼亚业务>ALU
BainCapital或以新台币近300亿元收购,1,24,BainCapital或以新台币近300亿元收购台湾万泰银行－报导
Berkshire与3G同意斥资230亿美元收购,1,24,Berkshire与3G同意斥资230亿美元收购亨氏>BRKABRKBHNZ
Bosch&amp;Siemens证实计划下周与,1,24,Bosch&amp;Siemens证实计划下周与亚洲固定收益投资者会面
Compass将旗下SSP以18.2亿英镑出售给,1,24,Compass将旗下SSP以18.2亿英镑出售给麦格理银行为首的财团
EBay收购新兴支付公司Card.io，旨在加强,1,24,EBay收购新兴支付公司Card.io，旨在加强贝宝业务
F&amp;CAssetManagement拟同,1,24,F&amp;CAssetManagement拟同华夏银行合资在华组建基金管理公司
FortressInvestment似乎有意恢复,1,24,FortressInvestment似乎有意恢复亚洲业务－路透社
GlassLewis建议和记电讯国际股东批准和记,1,24,GlassLewis建议和记电讯国际股东批准和记黄埔私有化方案
GlencoreXstrata启动价值52亿美元,1,24,GlencoreXstrata启动价值52亿美元秘鲁铜矿项目的出售程序
Icahn：雅虎与谷歌的广告协议或许有些道理－路,1,24,Icahn：雅虎与谷歌的广告协议或许有些道理－路透社>GOOG
KerryGroup提议以至多23.7亿港元收购,3,24,KerryGroup提议以至多23.7亿港元收购SCMP集团股份
"L&amp;LEnergy以1,800万美元收购",1,24,"L&amp;LEnergy以1,800万美元收购中国一煤矿60%权益"
LG.Philips、三星电子否认有关公司打算到,1,24,LG.Philips、三星电子否认有关公司打算到台湾建厂的报导
Linde以36亿欧元将叉车子公司出售给KKR和,1,24,Linde以36亿欧元将叉车子公司出售给KKR和高盛集团
MilkenInstitute年度会议与会人员称,1,24,MilkenInstitute年度会议与会人员称中国拥有应对经济形势变化的手段
Nymex能源产品电子交易周日将提早开始，因飓风,2,24,Nymex能源产品电子交易周日将提早开始，因飓风艾克即将来袭
PowerDigitalCard将就专利纠纷起诉,1,24,PowerDigitalCard将就专利纠纷起诉索尼公司－报导
RelianceCommunications授予,1,24,RelianceCommunications授予中国华为价值2亿美元的合同
RelianceEntertaiment或将竞购,1,24,RelianceEntertaiment或将竞购米高梅公司－报导
ResearchInMotion:正按部就班地与,1,24,ResearchInMotion:正按部就班地与印度讨论电子邮件监控
S&amp;P/Case-Shiller第四季度,1,24,S&amp;P/Case-Shiller第四季度美国房价指数下降8.9%
SKF与华锐风电达成合作协议，将在华投资3.3亿,1,24,SKF与华锐风电达成合作协议，将在华投资3.3亿瑞典克朗
StarHubLtd.、第一通和城市电讯联合竞标,1,24,StarHubLtd.、第一通和城市电讯联合竞标新加坡宽频网络项目
"StoraEnso获得7,500万美元贷款以用于",2,24,"StoraEnso获得7,500万美元贷款以用于中国桉树种植园项目"
Teva收购Cephalon的交易有望获欧盟批准,1,24,Teva收购Cephalon的交易有望获欧盟批准－路透社
Valero表示旗下StCharles炼油厂将于,1,24,Valero表示旗下StCharles炼油厂将于周中恢复营运>VLO
"WooriFinance第四财季净亏6,648亿",1,24,"WooriFinance第四财季净亏6,648亿韩圆，上年同期赢利1,116亿"
